Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,126.699997,129.440002,124.230003,128.869995,110.911774,6188700
2006-01-04,127.349998,128.91000400000001,126.379997,127.089996,109.37984499999999,4861600
2006-01-05,126.0,127.32,125.610001,127.040001,109.3368,3717400
2006-01-06,127.290001,129.25,127.290001,128.83999599999999,110.88595600000001,4319600
2006-01-09,128.5,130.619995,128.0,130.389999,112.219994,4723500
2006-01-10,130.050003,132.949997,130.020004,132.029999,113.63147,5536800
2006-01-11,131.449997,133.800003,131.419998,131.970001,113.579796,4671400
2006-01-12,131.399994,133.21000700000002,131.380005,132.25,113.820801,3725500
2006-01-13,132.020004,133.66000400000001,131.899994,133.259995,114.690025,2894900
2006-01-17,131.0,133.130005,130.58999599999999,132.58999599999999,114.11338799999999,3621600
2006-01-18,131.059998,132.679993,131.009995,132.369995,113.92404199999999,4302700
2006-01-19,132.720001,134.820007,132.71000700000002,133.820007,115.17201200000001,5010700
2006-01-20,132.850006,134.059998,131.25,131.440002,113.33538100000001,5679900
2006-01-23,131.639999,134.179993,131.639999,132.869995,114.568428,3847900
2006-01-24,132.630005,134.08999599999999,132.33999599999999,133.0,114.68051899999999,3758000
2006-01-25,133.649994,134.03999299999998,132.46000700000002,133.559998,115.16341399999999,3740500
2006-01-26,133.009995,138.360001,133.009995,137.399994,118.474434,4808200
2006-01-27,137.929993,139.75,137.100006,138.940002,119.802376,3687900
2006-01-30,139.550003,140.639999,138.71000700000002,139.869995,120.60423300000001,3168600
2006-01-31,139.729996,141.860001,138.449997,141.25,121.79414399999999,4906200
2006-02-01,141.399994,142.949997,140.429993,141.71000700000002,122.19081100000001,3635900
2006-02-02,142.270004,143.770004,141.399994,142.520004,122.889198,3711000
2006-02-03,141.550003,143.119995,140.699997,142.740005,123.078903,4178900
2006-02-06,142.610001,144.100006,141.600006,142.820007,123.147926,3849300
2006-02-07,142.350006,143.309998,139.479996,139.479996,120.267975,5207700
2006-02-08,140.100006,141.929993,139.320007,141.139999,121.69931799999999,4481400
2006-02-09,141.139999,142.850006,140.490005,140.850006,121.449265,3059500
2006-02-10,140.669998,141.850006,137.800003,140.809998,121.41476399999999,4433100
2006-02-13,139.649994,141.800003,139.149994,139.649994,120.41455800000001,2155200
2006-02-14,141.199997,142.320007,138.770004,141.779999,122.251144,3003100
